Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
21A0 - Byte              20C3C1E0 : 113                20BFEDE0 : 20                 
21A1 - Byte              20C3C1E1 : 61                 20BFEDE1 : 150                
21A2 - Byte              20C3C1E2 : 234                20BFEDE2 : 0                  
21A3 - Byte              20C3C1E3 : 62                 20BFEDE3 : 63                 
21A4 - Double            20C3C1E4 : 0.0000976562876155620BFEDE4 : 0.00010660158274145
21AC - Byte              20C3C1EC : 123                20BFEDEC : 132                
21AD - Byte              20C3C1ED : 20                 20BFEDED : 71                 
21AE - Byte              20C3C1EE : 46                 20BFEDEE : 39                 
21AF - Byte              20C3C1EF : 63                 20BFEDEF : 63                 
21B0 - Float             20C3C1F0 : 0.7599999905       20BFEDF0 : 0.6877859831       
21B4 - Float             20C3C1F4 : 0.8399999738       20BFEDF4 : 0.741985023        
21B8 - Byte              20C3C1F8 : 96                 20BFEDF8 : 47                 
21B9 - Byte              20C3C1F9 : 229                20BFEDF9 : 78                 
21BA - Byte              20C3C1FA : 104                20BFEDFA : 72                 
21BB - Byte              20C3C1FB : 63                 20BFEDFB : 63                 
21BC - Double            20C3C1FC : 0.0078125018476421220BFEDFC : 0.00240040616579873
21C4 - Byte              20C3C204 : 154                20BFEE04 : 238                
21C5 - String            20C3C205 : ™y?Í               20BFEE05 : %q?î               
21C9 - Byte              20C3C209 : 204                20BFEE09 : 96                 
21CA - Byte              20C3C20A : 108                20BFEE0A : 120                
21CB - Byte              20C3C20B : 63                 20BFEE0B : 63                 
21CC - Byte              20C3C20C : 41                 20BFEE0C : 217                
21CD - String            20C3C20D : \_?Ñ•P?š           20BFEE0D : ?                
21D5 - Byte              20C3C215 : 233                20BFEE15 : 96                 
21D6 - Byte              20C3C216 : 66                 20BFEE16 : 120                
21D7 - Byte              20C3C217 : 63                 20BFEE17 : 63                 
21D8 - Pointer           20C3C218 : P->3F392381        20BFEE18 : P->3F6EFFA0        
21DC - Pointer           20C3C21C : P->3F2D3C15        20BFEE1C : P->3F6313F0        
21E0 - Pointer           20C3C220 : P->3F22E59B        20BFEE20 : P->3F4DF8F4        
21E4 - 4 Bytes (Hex)     20C3C224 : 3F13BC2C           20BFEE24 : 3F329D1F           
21E8 - 4 Bytes (Hex)     20C3C228 : 3F01D0FA           20BFEE28 : 3F17414A           
21EC - 4 Bytes (Hex)     20C3C22C : 3ED806D1           20BFEE2C : 3EEA80F1           
21F0 - 4 Bytes (Hex)     20C3C230 : 3EA70825           20BFEE30 : 3E886727           
21F4 - 4 Bytes (Hex)     20C3C234 : 3E487D2C           20BFEE34 : 3DCE5CD5           
21F8 - 4 Bytes (Hex)     20C3C238 : 3DAE6C8F           20BFEE38 : 00000000           
21FC - 4 Bytes (Hex)     20C3C23C : 360637BD           20BFEE3C : 00000000           
2200 - 4 Bytes (Hex)     20C3C240 : 360637BD           20BFEE40 : 00000000           
2204 - 4 Bytes (Hex)     20C3C244 : 360637BD           20BFEE44 : 00000000           
2208 - 4 Bytes (Hex)     20C3C248 : 360637BD           20BFEE48 : 00000000           
220C - 4 Bytes (Hex)     20C3C24C : 360637BD           20BFEE4C : 00000000           
2210 - Double            20C3C250 : 0.0027343747006671 20BFEE50 : 0.0027343747006671 
2218 - Float             20C3C258 : 1                  20BFEE58 : 1                  
221C - Pointer           20C3C25C : P->3EC01B92        20BFEE5C : P->3D86ED90        
2220 - Double            20C3C260 : 3.33333396911621   20BFEE60 : 879.58984375       
2228 - Double            20C3C268 : 0.720512986648828  20BFEE68 : 0.000718649942427874
2230 - Byte              20C3C270 : 174                20BFEE70 : 174                
2231 - Byte              20C3C271 : 71                 20BFEE71 : 71                 
2232 - Byte              20C3C272 : 97                 20BFEE72 : 97                 
2233 - Byte              20C3C273 : 62                 20BFEE73 : 62                 
2234 - 4 Bytes           20C3C274 : 0                  20BFEE74 : 0                  
2238 - Float             20C3C278 : 10                 20BFEE78 : 10                 
223C - 4 Bytes           20C3C27C : 3332               20BFEE7C : 2564               
2240 - String            20C3C280 : RIV_1              20BFEE80 : FIA_TCR            
2249 - Byte              20C3C289 : 0                  20BFEE89 : 0                  
224A - Byte              20C3C28A : 0                  20BFEE8A : 0                  
224B - Byte              20C3C28B : 0                  20BFEE8B : 0                  
224C - Float             20C3C28C : 12800              20BFEE8C : 12800              
2250 - Float             20C3C290 : 12800              20BFEE90 : 12800              
2254 - Float             20C3C294 : 10000              20BFEE94 : 9000               
2258 - Pointer           20C3C298 : P->44C5FEE1        20BFEE98 : P->43016161        
225C - Pointer           20C3C29C : P->3E25F17C        20BFEE9C : P->3E417721        
2260 - Double            20C3C2A0 : 2.14576771624079E-720BFEEA0 : 5.4235863178998E-7 
2268 - Double            20C3C2A8 : 1.52587949280303E-620BFEEA8 : 9.46972610227681E-6
2270 - Byte              20C3C2B0 : 113                20BFEEB0 : 20                 
2271 - Byte              20C3C2B1 : 61                 20BFEEB1 : 150                
2272 - Byte              20C3C2B2 : 234                20BFEEB2 : 0                  
2273 - Byte              20C3C2B3 : 62                 20BFEEB3 : 63                 
2274 - Double            20C3C2B4 : 0.0000976562876155620BFEEB4 : 0.00010660158274145
227C - Byte              20C3C2BC : 123                20BFEEBC : 132                
227D - Byte              20C3C2BD : 20                 20BFEEBD : 71                 
227E - Byte              20C3C2BE : 46                 20BFEEBE : 39                 
227F - Byte              20C3C2BF : 63                 20BFEEBF : 63                 
2280 - Float             20C3C2C0 : 0.7599999905       20BFEEC0 : 0.6877859831       
2284 - Float             20C3C2C4 : 0.8399999738       20BFEEC4 : 0.741985023        
2288 - Byte              20C3C2C8 : 96                 20BFEEC8 : 47                 
2289 - Byte              20C3C2C9 : 229                20BFEEC9 : 78                 
228A - Byte              20C3C2CA : 104                20BFEECA : 72                 
228B - Byte              20C3C2CB : 63                 20BFEECB : 63                 
228C - Double            20C3C2CC : 0.0078125018476421220BFEECC : 0.00240040616579874
2294 - Byte              20C3C2D4 : 154                20BFEED4 : 238                
2295 - Byte              20C3C2D5 : 153                20BFEED5 : 37                 
2296 - Byte              20C3C2D6 : 121                20BFEED6 : 113                
2297 - Byte              20C3C2D7 : 63                 20BFEED7 : 63                 
2298 - Byte              20C3C2D8 : 197                20BFEED8 : 238                
2299 - String            20C3C2D9 : â[?ä               20BFEED9 : `x?Ù               
229D - Byte              20C3C2DD : 103                20BFEEDD : 5                  
229E - Byte              20C3C2DE : 79                 20BFEEDE : 127                
229F - Byte              20C3C2DF : 63                 20BFEEDF : 63                 
22A0 - Double            20C3C2E0 : 0.0003202851505708020BFEEE0 : 0.00595181527751265
22A8 - Pointer           20C3C2E8 : P->3F2BEA1C        20BFEEE8 : P->3F6E8955        
22AC - Pointer           20C3C2EC : P->3F20DC55        20BFEEEC : P->3F62A38C        
22B0 - Byte              20C3C2F0 : 238                20BFEEF0 : 12                 
22B1 - Byte              20C3C2F1 : 66                 20BFEEF1 : 147                
22B2 - Byte              20C3C2F2 : 23                 20BFEEF2 : 77                 
22B3 - Byte              20C3C2F3 : 63                 20BFEEF3 : 63                 
22B4 - Byte              20C3C2F4 : 182                20BFEEF4 : 183                
22B5 - Byte              20C3C2F5 : 46                 20BFEEF5 : 68                 
22B6 - Byte              20C3C2F6 : 9                  20BFEEF6 : 50                 
22B7 - 2 Bytes           20C3C2F7 : 26175              20BFEEF7 : 29503              
22B9 - Byte              20C3C2F9 : 22                 20BFEEF9 : 246                
22BA - Byte              20C3C2FA : 241                20BFEEFA : 22                 
22BB - 2 Bytes           20C3C2FB : 37182              20BFEEFB : 62015              
22BD - Byte              20C3C2FD : 152                20BFEEFD : 12                 
22BE - Byte              20C3C2FE : 200                20BFEEFE : 234                
22BF - 2 Bytes           20C3C2FF : 59198              20BFEEFF : 42814              
22C1 - Byte              20C3C301 : 25                 20BFEF01 : 35                 
22C2 - Byte              20C3C302 : 155                20BFEF02 : 136                
22C3 - 2 Bytes           20C3C303 : 5950               20BFEF03 : 7998               
22C5 - Byte              20C3C305 : 43                 20BFEF05 : 247                
22C6 - Byte              20C3C306 : 58                 20BFEF06 : 205                
22C7 - 2 Bytes           20C3C307 : 20798              20BFEF07 : 61                 
22C9 - Byte              20C3C309 : 247                20BFEF09 : 0                  
22CA - Byte              20C3C30A : 161                20BFEF0A : 0                  
22CB - 2 Bytes           20C3C30B : 48445              20BFEF0B : 0                  
22CD - Byte              20C3C30D : 55                 20BFEF0D : 0                  
22CE - Byte              20C3C30E : 6                  20BFEF0E : 0                  
22CF - 2 Bytes           20C3C30F : 48438              20BFEF0F : 0                  
22D1 - Byte              20C3C311 : 55                 20BFEF11 : 0                  
22D2 - Byte              20C3C312 : 6                  20BFEF12 : 0                  
22D3 - 2 Bytes           20C3C313 : 48438              20BFEF13 : 0                  
22D5 - Byte              20C3C315 : 55                 20BFEF15 : 0                  
22D6 - Byte              20C3C316 : 6                  20BFEF16 : 0                  
22D7 - 2 Bytes           20C3C317 : 48438              20BFEF17 : 0                  
22D9 - String            20C3C319 : 76\               20BFEF19 :                    
22DD - Byte              20C3C31D : 143                20BFEF1D : 143                
22DE - String            20C3C31E : B=fff?             20BFEF1E : B=fff?             
22E5 - Byte              20C3C325 : 0                  20BFEF25 : 0                  
22E6 - Byte              20C3C326 : 128                20BFEF26 : 128                
22E7 - Byte              20C3C327 : 63                 20BFEF27 : 63                 
22E8 - Pointer           20C3C328 : P->3ECEE29D        20BFEF28 : P->3D873076        
22EC - Double            20C3C32C : 5.33333206176758   20BFEF2C : 804.5712890625     
22F4 - Double            20C3C334 : 0.509523988235742  20BFEF34 : 0.00137648824602365
22FC - Byte              20C3C33C : 174                20BFEF3C : 174                
22FD - Byte              20C3C33D : 71                 20BFEF3D : 71                 
22FE - Byte              20C3C33E : 97                 20BFEF3E : 97                 
22FF - Byte              20C3C33F : 62                 20BFEF3F : 62                 
2300 - 4 Bytes           20C3C340 : 0                  20BFEF40 : 0                  
2304 - Float             20C3C344 : 10                 20BFEF44 : 10                 
2308 - 4 Bytes           20C3C348 : 3588               20BFEF48 : 2820               
230C - String            20C3C34C : RIV_1              20BFEF4C : FIA_TCR            
2315 - Byte              20C3C355 : 0                  20BFEF55 : 0                  
2316 - Byte              20C3C356 : 0                  20BFEF56 : 0                  
2317 - Byte              20C3C357 : 0                  20BFEF57 : 0                  
2318 - Float             20C3C358 : 12800              20BFEF58 : 12800              
231C - Float             20C3C35C : 12800              20BFEF5C : 12800              
2320 - Float             20C3C360 : 10000              20BFEF60 : 9000               
2324 - Pointer           20C3C364 : P->44D4235F        20BFEF64 : P->4301A167        
2328 - Pointer           20C3C368 : P->3E25F17C        20BFEF68 : P->3E417721        
232C - Double            20C3C36C : 2.14576771624079E-720BFEF6C : 5.4235863178998E-7 
2334 - Double            20C3C374 : 1.52587949280303E-620BFEF74 : 9.46972610227681E-6
233C - Byte              20C3C37C : 113                20BFEF7C : 20                 
233D - Byte              20C3C37D : 61                 20BFEF7D : 150                
233E - Byte              20C3C37E : 234                20BFEF7E : 0                  
233F - Byte              20C3C37F : 62                 20BFEF7F : 63                 
2340 - Double            20C3C380 : 0.0000976562876155620BFEF80 : 0.00010660158274145
2348 - Byte              20C3C388 : 123                20BFEF88 : 132                
2349 - Byte              20C3C389 : 20                 20BFEF89 : 71                 
234A - Byte              20C3C38A : 46                 20BFEF8A : 39                 
234B - Byte              20C3C38B : 63                 20BFEF8B : 63                 
234C - Float             20C3C38C : 0.7599999905       20BFEF8C : 0.6877859831       
2350 - Float             20C3C390 : 0.8399999738       20BFEF90 : 0.741985023        
2354 - Byte              20C3C394 : 96                 20BFEF94 : 47                 
2355 - Byte              20C3C395 : 229                20BFEF95 : 78                 
